Autoroute entrée	Péage entrée	Classe 1	Classe 5
MONTREUIL AUX LIONS	VERDUN	19.9	11.9
VERDUN	MONTREUIL (REIMS)	18.0	10.5
MONTREUIL (REIMS)	VERDUN	18.0	10.5
VERDUN	CHATEAU-THIERRY	15.7	9.2
CHATEAU-THIERRY	VERDUN	15.7	9.2
VERDUN	DORMANS	13.0	7.6
DORMANS	VERDUN	13.0	7.6
VERDUN	REIMS OUEST (THILLOIS)	12.2	6.9
REIMS OUEST (THILLOIS)	VERDUN	12.2	6.9
VERDUN	REIMS SUD	10.3	6.0
REIMS SUD	VERDUN	10.3	6.0
VERDUN	CHALONS / LA VEUVE (REIMS)	6.8	4.2
CHALONS / LA VEUVE (REIMS)	VERDUN	6.8	4.2
VERDUN	CHALONS / LA VEUVE (METZ)	6.8	4.2
CHALONS / LA VEUVE (METZ)	VERDUN	6.8	4.2
VERDUN	ST ETIENNE AU TEMPLE	6.2	4.1
ST ETIENNE AU TEMPLE	VERDUN	6.2	4.1
VERDUN	ST MENEHOULD	4.2	2.5
ST MENEHOULD	VERDUN	4.2	2.5
VERDUN	VOIE SACREE	2.0	1.2
VOIE SACREE	VERDUN	2.0	1.2
VERDUN	FRESNES EN WOEVRE	1.3	0.7
FRESNES EN WOEVRE	VERDUN	1.3	0.7
VERDUN	JARNY	2.9	1.7
JARNY	VERDUN	2.9	1.7
VERDUN	CLERMONT EN ARGONNE	2.9	1.7
CLERMONT EN ARGONNE	VERDUN	2.9	1.7
FRESNES EN WOEVRE	MONTREUIL AUX LIONS	19.9	11.9
MONTREUIL AUX LIONS	FRESNES EN WOEVRE	19.9	11.9
FRESNES EN WOEVRE	MONTREUIL (REIMS)	18.0	10.5
MONTREUIL (REIMS)	FRESNES EN WOEVRE	18.0	10.5
FRESNES EN WOEVRE	CHATEAU-THIERRY	15.7	9.2
CHATEAU-THIERRY	FRESNES EN WOEVRE	15.7	9.2
FRESNES EN WOEVRE	DORMANS	13.0	7.6
DORMANS	FRESNES EN WOEVRE	13.0	7.6
FRESNES EN WOEVRE	REIMS OUEST (THILLOIS)	12.2	6.9
REIMS OUEST (THILLOIS)	FRESNES EN WOEVRE	12.2	6.9
FRESNES EN WOEVRE	REIMS SUD	10.3	6.0
REIMS SUD	FRESNES EN WOEVRE	10.3	6.0
FRESNES EN WOEVRE	CHALONS / LA VEUVE (REIMS)	6.8	4.2
CHALONS / LA VEUVE (REIMS)	FRESNES EN WOEVRE	6.8	4.2
FRESNES EN WOEVRE	CHALONS / LA VEUVE (METZ)	6.8	4.2
CHALONS / LA VEUVE (METZ)	FRESNES EN WOEVRE	6.8	4.2
FRESNES EN WOEVRE	ST ETIENNE AU TEMPLE	6.2	4.1
ST ETIENNE AU TEMPLE	FRESNES EN WOEVRE	6.2	4.1
FRESNES EN WOEVRE	ST MENEHOULD	4.2	2.5
ST MENEHOULD	FRESNES EN WOEVRE	4.2	2.5
FRESNES EN WOEVRE	VOIE SACREE	2.0	1.2
VOIE SACREE	FRESNES EN WOEVRE	2.0	1.2
FRESNES EN WOEVRE	VERDUN	1.3	0.7
VERDUN	FRESNES EN WOEVRE	1.3	0.7
FRESNES EN WOEVRE	JARNY	1.7	1.0
JARNY	FRESNES EN WOEVRE	1.7	1.0
FRESNES EN WOEVRE	CLERMONT EN ARGONNE	2.9	1.7
CLERMONT EN ARGONNE	FRESNES EN WOEVRE	2.9	1.7
JARNY	MONTREUIL AUX LIONS	21.5	13.1
MONTREUIL AUX LIONS	JARNY	21.5	13.1
JARNY	MONTREUIL (REIMS)	19.1	11.6
MONTREUIL (REIMS)	JARNY	19.1	11.6
JARNY	CHATEAU-THIERRY	17.3	10.7
CHATEAU-THIERRY	JARNY	17.3	10.7
JARNY	DORMANS	14.7	8.6
DORMANS	JARNY	14.7	8.6
JARNY	REIMS OUEST (THILLOIS)	13.4	8.3
REIMS OUEST (THILLOIS)	JARNY	13.4	8.3
JARNY	REIMS SUD	11.8	7.3
REIMS SUD	JARNY	11.8	7.3
JARNY	CHALONS / LA VEUVE (REIMS)	8.7	5.3
CHALONS / LA VEUVE (REIMS)	JARNY	8.7	5.3
JARNY	CHALONS / LA VEUVE (METZ)	8.7	5.3
CHALONS / LA VEUVE (METZ)	JARNY	8.7	5.3
JARNY	ST ETIENNE AU TEMPLE	8.0	5.0
ST ETIENNE AU TEMPLE	JARNY	8.0	5.0
JARNY	ST MENEHOULD	6.1	3.8
ST MENEHOULD	JARNY	6.1	3.8
JARNY	VOIE SACREE	3.6	2.2
VOIE SACREE	JARNY	3.6	2.2
JARNY	VERDUN	2.9	1.7
VERDUN	JARNY	2.9	1.7
JARNY	FRESNES EN WOEVRE	1.7	1.0
FRESNES EN WOEVRE	JARNY	1.7	1.0
JARNY	CLERMONT EN ARGONNE	4.6	2.8
CLERMONT EN ARGONNE	JARNY	4.6	2.8
METZ BEAUMONT	MONTREUIL AUX LIONS	23.8	15.1
MONTREUIL AUX LIONS	METZ BEAUMONT	23.8	15.1
METZ BEAUMONT	MONTREUIL (REIMS)	22.3	13.6
MONTREUIL (REIMS)	METZ BEAUMONT	22.3	13.6
METZ BEAUMONT	CHATEAU-THIERRY	20.2	12.4
CHATEAU-THIERRY	METZ BEAUMONT	20.2	12.4
METZ BEAUMONT	DORMANS	17.8	11.0
DORMANS	METZ BEAUMONT	17.8	11.0
METZ BEAUMONT	REIMS OUEST (THILLOIS)	17.1	10.4
REIMS OUEST (THILLOIS)	METZ BEAUMONT	17.1	10.4
METZ BEAUMONT	REIMS SUD	14.9	9.2
REIMS SUD	METZ BEAUMONT	14.9	9.2
METZ BEAUMONT	CHALONS / LA VEUVE (REIMS)	11.5	7.0
CHALONS / LA VEUVE (REIMS)	METZ BEAUMONT	11.5	7.0
METZ BEAUMONT	CHALONS / LA VEUVE (METZ)	11.5	7.0
CHALONS / LA VEUVE (METZ)	METZ BEAUMONT	11.5	7.0
METZ BEAUMONT	ST ETIENNE AU TEMPLE	11.2	7.0
ST ETIENNE AU TEMPLE	METZ BEAUMONT	11.2	7.0
METZ BEAUMONT	ST MENEHOULD	9.1	5.1
ST MENEHOULD	METZ BEAUMONT	9.1	5.1
METZ BEAUMONT	VOIE SACREE	6.1	3.7
VOIE SACREE	METZ BEAUMONT	6.1	3.7
METZ BEAUMONT	VERDUN	5.2	2.9
VERDUN	METZ BEAUMONT	5.2	2.9
METZ BEAUMONT	FRESNES EN WOEVRE	3.7	2.2
FRESNES EN WOEVRE	METZ BEAUMONT	3.7	2.2
METZ BEAUMONT	JARNY	1.8	1.1
JARNY	METZ BEAUMONT	1.8	1.1
METZ BEAUMONT	CLERMONT EN ARGONNE	7.3	4.2
CLERMONT EN ARGONNE	METZ BEAUMONT	7.3	4.2
CLERMONT EN ARGONNE	MONTREUIL AUX LIONS	16.3	10.4
MONTREUIL AUX LIONS	CLERMONT EN ARGONNE	16.3	10.4
CLERMONT EN ARGONNE	MONTREUIL (REIMS)	14.1	8.2
MONTREUIL (REIMS)	CLERMONT EN ARGONNE	14.1	8.2
CLERMONT EN ARGONNE	CHATEAU-THIERRY	12.2	7.5
CHATEAU-THIERRY	CLERMONT EN ARGONNE	12.2	7.5
CLERMONT EN ARGONNE	DORMANS	9.7	5.9
DORMANS	CLERMONT EN ARGONNE	9.7	5.9
CLERMONT EN ARGONNE	REIMS OUEST (THILLOIS)	8.6	5.2
REIMS OUEST (THILLOIS)	CLERMONT EN ARGONNE	8.6	5.2
CLERMONT EN ARGONNE	REIMS SUD	6.6	4.2
REIMS SUD	CLERMONT EN ARGONNE	6.6	4.2
CLERMONT EN ARGONNE	CHARMONT-S/BARBUISE	10.6	6.8
CHARMONT-S/BARBUISE	CLERMONT EN ARGONNE	10.6	6.8
CLERMONT EN ARGONNE	VALLEE DE L'AUBE	8.9	6.0
VALLEE DE L'AUBE	CLERMONT EN ARGONNE	8.9	6.0
CLERMONT EN ARGONNE	SOMMESOUS	7.7	4.5
SOMMESOUS	CLERMONT EN ARGONNE	7.7	4.5
CLERMONT EN ARGONNE	MONT CHOISY	6.0	3.7
MONT CHOISY	CLERMONT EN ARGONNE	6.0	3.7
CLERMONT EN ARGONNE	ST GIBRIEN	5.4	3.5
ST GIBRIEN	CLERMONT EN ARGONNE	5.4	3.5
CLERMONT EN ARGONNE	CHALONS / LA VEUVE (REIMS)	3.8	2.3
CHALONS / LA VEUVE (REIMS)	CLERMONT EN ARGONNE	3.8	2.3
CLERMONT EN ARGONNE	CHALONS / LA VEUVE (METZ)	3.8	2.3
CHALONS / LA VEUVE (METZ)	CLERMONT EN ARGONNE	3.8	2.3
CLERMONT EN ARGONNE	ST ETIENNE AU TEMPLE	3.4	2.1
ST ETIENNE AU TEMPLE	CLERMONT EN ARGONNE	3.4	2.1
CLERMONT EN ARGONNE	ST MENEHOULD	1.2	0.7
ST MENEHOULD	CLERMONT EN ARGONNE	1.2	0.7
CLERMONT EN ARGONNE	VOIE SACREE	0.9	0.5
VOIE SACREE	CLERMONT EN ARGONNE	0.9	0.5
CLERMONT EN ARGONNE	VERDUN	2.9	1.7
VERDUN	CLERMONT EN ARGONNE	2.9	1.7
CLERMONT EN ARGONNE	FRESNES EN WOEVRE	2.9	1.7
FRESNES EN WOEVRE	CLERMONT EN ARGONNE	2.9	1.7
CLERMONT EN ARGONNE	JARNY	4.6	2.8
JARNY	CLERMONT EN ARGONNE	4.6	2.8
CLERMONT EN ARGONNE	VATRY	6.9	4.3
VATRY	CLERMONT EN ARGONNE	6.9	4.3
VATRY	MONTREUIL AUX LIONS	13.2	8.6
MONTREUIL AUX LIONS	VATRY	13.2	8.6
VATRY	REIMS NORD (ORMES)	5.7	3.8
REIMS NORD (ORMES)	VATRY	5.7	3.8
VATRY	REIMS OUEST (THILLOIS)	6.4	4.1
REIMS OUEST (THILLOIS)	VATRY	6.4	4.1
VATRY	VALLEE DE L'AUBE	2.0	1.2
VALLEE DE L'AUBE	VATRY	2.0	1.2
VATRY	CHALONS / LA VEUVE (REIMS)	2.7	1.7
CHALONS / LA VEUVE (REIMS)	VATRY	2.7	1.7
VATRY	CHALONS / LA VEUVE (METZ)	3.4	2.3
CHALONS / LA VEUVE (METZ)	VATRY	3.4	2.3
VATRY	METZ BEAUMONT	13.7	9.1
METZ BEAUMONT	VATRY	13.7	9.1
GENDREY	MONTREUIL AUX LIONS	40.7	23.9
MONTREUIL AUX LIONS	GENDREY	40.7	23.9
GENDREY	REIMS NORD (ORMES)	32.6	18.9
REIMS NORD (ORMES)	GENDREY	32.6	18.9
GENDREY	REIMS OUEST (THILLOIS)	33.2	19.4
REIMS OUEST (THILLOIS)	GENDREY	33.2	19.4
GENDREY	VALLEE DE L'AUBE	22.5	13.5
VALLEE DE L'AUBE	GENDREY	22.5	13.5
GENDREY	CHALONS / LA VEUVE (REIMS)	28.3	16.9
CHALONS / LA VEUVE (REIMS)	GENDREY	28.3	16.9
GENDREY	CHALONS / LA VEUVE (METZ)	28.3	17.2
CHALONS / LA VEUVE (METZ)	GENDREY	28.3	17.2
GENDREY	METZ BEAUMONT	40.9	24.2
METZ BEAUMONT	GENDREY	40.9	24.2
SEURRE	MONTREUIL AUX LIONS	39.8	23.3
MONTREUIL AUX LIONS	SEURRE	39.8	23.3
SEURRE	REIMS NORD (ORMES)	31.7	18.3
REIMS NORD (ORMES)	SEURRE	31.7	18.3
SEURRE	REIMS OUEST (THILLOIS)	32.3	18.8
REIMS OUEST (THILLOIS)	SEURRE	32.3	18.8
SEURRE	VALLEE DE L'AUBE	21.6	12.9
VALLEE DE L'AUBE	SEURRE	21.6	12.9
SEURRE	CHALONS / LA VEUVE (REIMS)	27.4	16.3
CHALONS / LA VEUVE (REIMS)	SEURRE	27.4	16.3
SEURRE	CHALONS / LA VEUVE (METZ)	27.4	16.6
CHALONS / LA VEUVE (METZ)	SEURRE	27.4	16.6
SEURRE	METZ BEAUMONT	40.0	23.6
METZ BEAUMONT	SEURRE	40.0	23.6
VAL DE LOING-BARRIERE	REIMS OUEST (THILLOIS)	31.8	18.6
REIMS OUEST (THILLOIS)	VAL DE LOING-BARRIERE	31.8	18.6
BELLEGARDE	MONTREUIL AUX LIONS	56.8	33.5
MONTREUIL AUX LIONS	BELLEGARDE	56.8	33.5
BELLEGARDE	MONTREUIL (REIMS)	54.8	32.2
MONTREUIL (REIMS)	BELLEGARDE	54.8	32.2
BELLEGARDE	CHATEAU-THIERRY	52.5	31.1
CHATEAU-THIERRY	BELLEGARDE	52.5	31.1
BELLEGARDE	DORMANS	50.1	29.8
DORMANS	BELLEGARDE	50.1	29.8
BELLEGARDE	REIMS NORD (ORMES)	122.8	71.5
REIMS NORD (ORMES)	BELLEGARDE	122.8	71.5
BELLEGARDE	REIMS OUEST (THILLOIS)	49.3	29.0
REIMS OUEST (THILLOIS)	BELLEGARDE	49.3	29.0
BELLEGARDE	REIMS SUD	47.5	28.0
REIMS SUD	BELLEGARDE	47.5	28.0
BELLEGARDE	CHARMONT-S/BARBUISE	37.5	22.3
CHARMONT-S/BARBUISE	BELLEGARDE	37.5	22.3
BELLEGARDE	VALLEE DE L'AUBE	38.6	23.1
VALLEE DE L'AUBE	BELLEGARDE	38.6	23.1
BELLEGARDE	SOMMESOUS	40.5	24.2
SOMMESOUS	BELLEGARDE	40.5	24.2
BELLEGARDE	MONT CHOISY	42.4	25.5
MONT CHOISY	BELLEGARDE	42.4	25.5
BELLEGARDE	ST GIBRIEN	43.2	25.9
ST GIBRIEN	BELLEGARDE	43.2	25.9
BELLEGARDE	REIMS EST (TAISSY)	47.7	28.1
REIMS EST (TAISSY)	BELLEGARDE	47.7	28.1
BELLEGARDE	CHALONS / LA VEUVE (REIMS)	44.4	26.5
CHALONS / LA VEUVE (REIMS)	BELLEGARDE	44.4	26.5
BELLEGARDE	CHALONS / LA VEUVE (METZ)	44.4	26.8
CHALONS / LA VEUVE (METZ)	BELLEGARDE	44.4	26.8
BELLEGARDE	ST ETIENNE AU TEMPLE	44.4	26.8
ST ETIENNE AU TEMPLE	BELLEGARDE	44.4	26.8
BELLEGARDE	ST MENEHOULD	46.4	28.3
ST MENEHOULD	BELLEGARDE	46.4	28.3
BELLEGARDE	VOIE SACREE	49.9	30.1
VOIE SACREE	BELLEGARDE	49.9	30.1
BELLEGARDE	VERDUN	52.3	31.5
VERDUN	BELLEGARDE	52.3	31.5
BELLEGARDE	FRESNES EN WOEVRE	52.3	31.5
FRESNES EN WOEVRE	BELLEGARDE	52.3	31.5
BELLEGARDE	JARNY	53.8	32.5
JARNY	BELLEGARDE	53.8	32.5
BELLEGARDE	METZ BEAUMONT	57.0	33.8
METZ BEAUMONT	BELLEGARDE	57.0	33.8
BELLEGARDE	CLERMONT EN ARGONNE	48.1	29.1
CLERMONT EN ARGONNE	BELLEGARDE	48.1	29.1
BELLEGARDE	VATRY	41.1	24.3
VATRY	BELLEGARDE	41.1	24.3
ELOISE	MONTREUIL AUX LIONS	58.1	34.4
MONTREUIL AUX LIONS	ELOISE	58.1	34.4
ELOISE	MONTREUIL (REIMS)	56.1	33.1
MONTREUIL (REIMS)	ELOISE	56.1	33.1
ELOISE	CHATEAU-THIERRY	53.8	32.0
CHATEAU-THIERRY	ELOISE	53.8	32.0
ELOISE	DORMANS	51.4	30.7
DORMANS	ELOISE	51.4	30.7
ELOISE	REIMS NORD (ORMES)	50.0	29.4
REIMS NORD (ORMES)	ELOISE	50.0	29.4
ELOISE	REIMS OUEST (THILLOIS)	50.6	29.9
REIMS OUEST (THILLOIS)	ELOISE	50.6	29.9
ELOISE	REIMS SUD	48.8	28.9
REIMS SUD	ELOISE	48.8	28.9
ELOISE	CHARMONT-S/BARBUISE	38.8	23.2
CHARMONT-S/BARBUISE	ELOISE	38.8	23.2
ELOISE	VALLEE DE L'AUBE	39.9	24.0
VALLEE DE L'AUBE	ELOISE	39.9	24.0
ELOISE	SOMMESOUS	41.8	25.1
SOMMESOUS	ELOISE	41.8	25.1
ELOISE	MONT CHOISY	43.7	26.4
MONT CHOISY	ELOISE	43.7	26.4
ELOISE	ST GIBRIEN	44.5	26.8
ST GIBRIEN	ELOISE	44.5	26.8
ELOISE	REIMS EST (TAISSY)	49.0	29.0
REIMS EST (TAISSY)	ELOISE	49.0	29.0
ELOISE	CHALONS / LA VEUVE (REIMS)	45.7	27.4
CHALONS / LA VEUVE (REIMS)	ELOISE	45.7	27.4
ELOISE	CHALONS / LA VEUVE (METZ)	45.7	27.7
CHALONS / LA VEUVE (METZ)	ELOISE	45.7	27.7
ELOISE	ST ETIENNE AU TEMPLE	45.7	27.7
ST ETIENNE AU TEMPLE	ELOISE	45.7	27.7
ELOISE	ST MENEHOULD	47.7	29.2
ST MENEHOULD	ELOISE	47.7	29.2
ELOISE	VOIE SACREE	51.2	31.0
VOIE SACREE	ELOISE	51.2	31.0
ELOISE	VERDUN	53.6	32.4
VERDUN	ELOISE	53.6	32.4
ELOISE	FRESNES EN WOEVRE	53.6	32.4
FRESNES EN WOEVRE	ELOISE	53.6	32.4
ELOISE	JARNY	55.1	33.4
JARNY	ELOISE	55.1	33.4
ELOISE	METZ BEAUMONT	58.3	34.7
METZ BEAUMONT	ELOISE	58.3	34.7
ELOISE	CLERMONT EN ARGONNE	49.4	30.0
CLERMONT EN ARGONNE	ELOISE	49.4	30.0
ELOISE	VATRY	42.4	25.2
VATRY	ELOISE	42.4	25.2
VIRY	MONTREUIL AUX LIONS	62.0	36.9
MONTREUIL AUX LIONS	VIRY	62.0	36.9
VIRY	MONTREUIL (REIMS)	60.0	35.6
MONTREUIL (REIMS)	VIRY	60.0	35.6
VIRY	CHATEAU-THIERRY	57.7	34.5
CHATEAU-THIERRY	VIRY	57.7	34.5
VIRY	DORMANS	55.3	33.2
DORMANS	VIRY	55.3	33.2
VIRY	REIMS NORD (ORMES)	53.9	31.9
REIMS NORD (ORMES)	VIRY	53.9	31.9
VIRY	REIMS OUEST (THILLOIS)	54.5	32.4
REIMS OUEST (THILLOIS)	VIRY	54.5	32.4
VIRY	REIMS SUD	52.7	31.4
REIMS SUD	VIRY	52.7	31.4
VIRY	CHARMONT-S/BARBUISE	42.7	25.7
CHARMONT-S/BARBUISE	VIRY	42.7	25.7
VIRY	VALLEE DE L'AUBE	43.8	26.5
VALLEE DE L'AUBE	VIRY	43.8	26.5
VIRY	SOMMESOUS	45.7	27.6
SOMMESOUS	VIRY	45.7	27.6
VIRY	MONT CHOISY	47.6	28.9
MONT CHOISY	VIRY	47.6	28.9
VIRY	ST GIBRIEN	48.4	29.3
ST GIBRIEN	VIRY	48.4	29.3
VIRY	REIMS EST (TAISSY)	52.9	31.5
REIMS EST (TAISSY)	VIRY	52.9	31.5
VIRY	CHALONS / LA VEUVE (REIMS)	49.6	29.9
CHALONS / LA VEUVE (REIMS)	VIRY	49.6	29.9
VIRY	CHALONS / LA VEUVE (METZ)	49.6	30.2
CHALONS / LA VEUVE (METZ)	VIRY	49.6	30.2
VIRY	ST ETIENNE AU TEMPLE	49.6	30.2
ST ETIENNE AU TEMPLE	VIRY	49.6	30.2
VIRY	ST MENEHOULD	51.6	31.7
ST MENEHOULD	VIRY	51.6	31.7
VIRY	VOIE SACREE	55.1	33.5
VOIE SACREE	VIRY	55.1	33.5
VIRY	VERDUN	57.5	34.9
VERDUN	VIRY	57.5	34.9
VIRY	FRESNES EN WOEVRE	57.5	34.9
FRESNES EN WOEVRE	VIRY	57.5	34.9
VIRY	JARNY	59.0	35.9
JARNY	VIRY	59.0	35.9
VIRY	METZ BEAUMONT	62.2	37.2
METZ BEAUMONT	VIRY	62.2	37.2
VIRY	CLERMONT EN ARGONNE	53.3	32.5
CLERMONT EN ARGONNE	VIRY	53.3	32.5
VIRY	VATRY	46.3	27.7
VATRY	VIRY	46.3	27.7
